title,price_gbp,star_rating,availability,category,rating,in_stock,price_inr
It's Only the Himalayas,45.17,Two,In stock,Travel,2,True,4765.44
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,In stock,Travel,4,True,5214.86
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three,In stock,Travel,3,True,5155.78
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Two,In stock,Travel,2,True,3897.17
Under the Tuscan Sun,37.33,Three,In stock,Travel,3,True,3938.31
A Summer In Europe,44.34,Two,In stock,Travel,2,True,4677.87
The Great Railway Bazaar,30.54,One,In stock,Travel,1,True,3221.97
A Year in Provence (Provence #1),56.88,Four,In stock,Travel,4,True,6000.84
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,One,In stock,Travel,1,True,2448.66
Neither Here nor There: Travels in Europe,38.95,Three,In stock,Travel,3,True,4109.23
"1,000 Places to See Before You Die",26.08,Five,In stock,Travel,5,True,2751.44
Sharp Objects,47.82,Four,In stock,Mystery,4,True,5045.01
"In a Dark, Dark Wood",19.63,One,In stock,Mystery,1,True,2070.96
The Past Never Ends,56.5,Four,In stock,Mystery,4,True,5960.75
A Murder in Time,16.64,One,In stock,Mystery,1,True,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,In stock,Mystery,4,True,4652.55
The Last Mile (Amos Decker #2),54.21,Two,In stock,Mystery,2,True,5719.16
That Darkness (Gardiner and Renner #1),13.92,One,In stock,Mystery,1,True,1468.56
Tastes Like Fear (DI Marnie Rome #3),10.69,One,In stock,Mystery,1,True,1127.79
A Time of Torment (Charlie Parker #14),48.35,Five,In stock,Mystery,5,True,5100.92
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,In stock,Mystery,2,True,1765.02
Poisonous (Max Revere Novels #3),26.8,Three,In stock,Mystery,3,True,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,In stock,Mystery,4,True,5734.98
Most Wanted,35.28,Three,In stock,Mystery,3,True,3722.04
Hide Away (Eve Duncan #20),11.84,One,In stock,Mystery,1,True,1249.12
Boar Island (Anna Pigeon #19),59.48,Three,In stock,Mystery,3,True,6275.14
The Widow,27.26,Two,In stock,Mystery,2,True,2875.93
Playing with Fire,13.71,Three,In stock,Mystery,3,True,1446.41
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Five,In stock,Mystery,5,True,2676.54
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Five,In stock,Mystery,5,True,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Four,In stock,Mystery,4,True,2203.9
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Four,In stock,Mystery,4,True,2616.4
In the Woods (Dublin Murder Squad #1),38.38,Two,In stock,Mystery,2,True,4049.09
The Silkworm (Cormoran Strike #2),23.05,Five,In stock,Mystery,5,True,2431.78
The Exiled,43.45,Three,In stock,Mystery,3,True,4583.98
The Cuckoo's Calling (Cormoran Strike #1),19.21,One,In stock,Mystery,1,True,2026.66
Extreme Prey (Lucas Davenport #26),25.4,Three,In stock,Mystery,3,True,2679.7
Career of Evil (Cormoran Strike #3),24.72,Two,In stock,Mystery,2,True,2607.96
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Four,In stock,Mystery,4,True,6087.35
The Girl You Lost,12.29,Five,In stock,Mystery,5,True,1296.59
The Girl In The Ice (DCI Erika Foster #1),15.85,Three,In stock,Mystery,3,True,1672.18
Blood Defense (Samantha Brinkman #1),20.3,Three,In stock,Mystery,3,True,2141.65
1st to Die (Women's Murder Club #1),53.98,One,In stock,Mystery,1,True,5694.89
Tipping the Velvet,53.74,One,In stock,Historical Fiction,1,True,5669.57
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,In stock,Historical Fiction,3,True,3132.3
A Flight of Arrows (The Pathfinders #2),55.53,Five,In stock,Historical Fiction,5,True,5858.42
The House by the Lake,36.95,One,In stock,Historical Fiction,1,True,3898.23
Mrs. Houdini,30.25,Five,In stock,Historical Fiction,5,True,3191.38
The Marriage of Opposites,28.08,Four,In stock,Historical Fiction,4,True,2962.44
Glory over Everything: Beyond The Kitchen House,45.84,Three,In stock,Historical Fiction,3,True,4836.12
"Love, Lies and Spies",20.55,Two,In stock,Historical Fiction,2,True,2168.02
A Paris Apartment,39.01,Four,In stock,Historical Fiction,4,True,4115.55
Lilac Girls,17.28,Two,In stock,Historical Fiction,2,True,1823.04
The Constant Princess (The Tudor Court #1),16.62,Three,In stock,Historical Fiction,3,True,1753.41
The Invention of Wings,37.34,One,In stock,Historical Fiction,1,True,3939.37
World Without End (The Pillars of the Earth #2),32.97,Four,In stock,Historical Fiction,4,True,3478.34
The Passion of Dolssa,28.32,Five,In stock,Historical Fiction,5,True,2987.76
Girl With a Pearl Earring,26.77,One,In stock,Historical Fiction,1,True,2824.24
Voyager (Outlander #3),21.07,Five,In stock,Historical Fiction,5,True,2222.89
The Red Tent,35.66,Five,In stock,Historical Fiction,5,True,3762.13
The Last Painting of Sara de Vos,55.55,Two,In stock,Historical Fiction,2,True,5860.52
The Guernsey Literary and Potato Peel Pie Society,49.53,One,In stock,Historical Fiction,1,True,5225.42
Girl in the Blue Coat,46.83,Two,In stock,Historical Fiction,2,True,4940.56
Between Shades of Gray,20.79,Five,In stock,Historical Fiction,5,True,2193.34
While You Were Mine,41.32,Five,In stock,Historical Fiction,5,True,4359.26
The Secret Healer,34.56,Three,In stock,Historical Fiction,3,True,3646.08
Starlark,25.83,Three,In stock,Historical Fiction,3,True,2725.06
