title,category_name,rating
A Time of Torment (Charlie Parker #14),Mystery,5
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,5
The Silkworm (Cormoran Strike #2),Mystery,5
The Girl You Lost,Mystery,5
"1,000 Places to See Before You Die",Travel,5
Sharp Objects,Mystery,4
The Past Never Ends,Mystery,4
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,4
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,4
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,4
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,4
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,4
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,4
A Year in Provence (Provence #1),Travel,4
Poisonous (Max Revere Novels #3),Mystery,3
Most Wanted,Mystery,3
Boar Island (Anna Pigeon #19),Mystery,3
Playing with Fire,Mystery,3
The Exiled,Mystery,3
Extreme Prey (Lucas Davenport #26),Mystery,3
The Girl In The Ice (DCI Erika Foster #1),Mystery,3
Blood Defense (Samantha Brinkman #1),Mystery,3
See America: A Celebration of Our National Parks & Treasured Sites,Travel,3
Under the Tuscan Sun,Travel,3
Neither Here nor There: Travels in Europe,Travel,3
The Last Mile (Amos Decker #2),Mystery,2
A Study in Scarlet (Sherlock Holmes #1),Mystery,2
The Widow,Mystery,2
In the Woods (Dublin Murder Squad #1),Mystery,2
Career of Evil (Cormoran Strike #3),Mystery,2
It's Only the Himalayas,Travel,2
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,2
A Summer In Europe,Travel,2
"In a Dark, Dark Wood",Mystery,1
A Murder in Time,Mystery,1
That Darkness (Gardiner and Renner #1),Mystery,1
Tastes Like Fear (DI Marnie Rome #3),Mystery,1
Hide Away (Eve Duncan #20),Mystery,1
The Cuckoo's Calling (Cormoran Strike #1),Mystery,1
1st to Die (Women's Murder Club #1),Mystery,1
The Great Railway Bazaar,Travel,1
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,1
