title,price_gbp
Blood Defense (Samantha Brinkman #1),20.3
"Love, Lies and Spies",20.55
Between Shades of Gray,20.79
Delivering the Truth (Quaker Midwife Mystery #1),20.89
Voyager (Outlander #3),21.07
The Silkworm (Cormoran Strike #2),23.05
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21
Career of Evil (Cormoran Strike #3),24.72
The Mysterious Affair at Styles (Hercule Poirot #1),24.8
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37
Extreme Prey (Lucas Davenport #26),25.4
Starlark,25.83
"1,000 Places to See Before You Die",26.08
Girl With a Pearl Earring,26.77
Poisonous (Max Revere Novels #3),26.8
The Widow,27.26
Lost Among the Living,27.7
The Marriage of Opposites,28.08
The Passion of Dolssa,28.32
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69
Mrs. Houdini,30.25
The Great Railway Bazaar,30.54
World Without End (The Pillars of the Earth #2),32.97
The Secret Healer,34.56
Most Wanted,35.28
The Red Tent,35.66
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94
The House by the Lake,36.95
Under the Tuscan Sun,37.33
The Invention of Wings,37.34
In the Woods (Dublin Murder Squad #1),38.38
Neither Here nor There: Travels in Europe,38.95
A Paris Apartment,39.01
