title,rating,price_gbp,category_name
A Flight of Arrows (The Pathfinders #2),5,55.53,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),5,16.97,Historical Fiction
Between Shades of Gray,5,20.79,Historical Fiction
Mrs. Houdini,5,30.25,Historical Fiction
The Passion of Dolssa,5,28.32,Historical Fiction
The Red Tent,5,35.66,Historical Fiction
Voyager (Outlander #3),5,21.07,Historical Fiction
While You Were Mine,5,41.32,Historical Fiction
A Time of Torment (Charlie Parker #14),5,48.35,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,52.3,Mystery
The Girl You Lost,5,12.29,Mystery
The Silkworm (Cormoran Strike #2),5,23.05,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),5,25.37,Mystery
"1,000 Places to See Before You Die",5,26.08,Travel
A Paris Apartment,4,39.01,Historical Fiction
Lost Among the Living,4,27.7,Historical Fiction
The Marriage of Opposites,4,28.08,Historical Fiction
World Without End (The Pillars of the Earth #2),4,32.97,Historical Fiction
Delivering the Truth (Quaker Midwife Mystery #1),4,20.89,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),4,54.36,Mystery
Sharp Objects,4,47.82,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),4,44.1,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),4,24.8,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,57.7,Mystery
The Past Never Ends,4,56.5,Mystery
A Year in Provence (Provence #1),4,56.88,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4,49.43,Travel
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,29.69,Historical Fiction
Glory over Everything: Beyond The Kitchen House,3,45.84,Historical Fiction
Starlark,3,25.83,Historical Fiction
The Constant Princess (The Tudor Court #1),3,16.62,Historical Fiction
The Secret Healer,3,34.56,Historical Fiction
Blood Defense (Samantha Brinkman #1),3,20.3,Mystery
Boar Island (Anna Pigeon #19),3,59.48,Mystery
Extreme Prey (Lucas Davenport #26),3,25.4,Mystery
Most Wanted,3,35.28,Mystery
Playing with Fire,3,13.71,Mystery
Poisonous (Max Revere Novels #3),3,26.8,Mystery
The Exiled,3,43.45,Mystery
The Girl In The Ice (DCI Erika Foster #1),3,15.85,Mystery
Neither Here nor There: Travels in Europe,3,38.95,Travel
See America: A Celebration of Our National Parks & Treasured Sites,3,48.87,Travel
Under the Tuscan Sun,3,37.33,Travel
Girl in the Blue Coat,2,46.83,Historical Fiction
Lilac Girls,2,17.28,Historical Fiction
"Love, Lies and Spies",2,20.55,Historical Fiction
The Last Painting of Sara de Vos,2,55.55,Historical Fiction
A Study in Scarlet (Sherlock Holmes #1),2,16.73,Mystery
Career of Evil (Cormoran Strike #3),2,24.72,Mystery
In the Woods (Dublin Murder Squad #1),2,38.38,Mystery
The Last Mile (Amos Decker #2),2,54.21,Mystery
The Widow,2,27.26,Mystery
A Summer In Europe,2,44.34,Travel
It's Only the Himalayas,2,45.17,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2,36.94,Travel
Girl With a Pearl Earring,1,26.77,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,1,49.53,Historical Fiction
The House by the Lake,1,36.95,Historical Fiction
The Invention of Wings,1,37.34,Historical Fiction
Tipping the Velvet,1,53.74,Historical Fiction
1st to Die (Women's Murder Club #1),1,53.98,Mystery
A Murder in Time,1,16.64,Mystery
Hide Away (Eve Duncan #20),1,11.84,Mystery
"In a Dark, Dark Wood",1,19.63,Mystery
Tastes Like Fear (DI Marnie Rome #3),1,10.69,Mystery
That Darkness (Gardiner and Renner #1),1,13.92,Mystery
The Cuckoo's Calling (Cormoran Strike #1),1,19.21,Mystery
The Great Railway Bazaar,1,30.54,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1,23.21,Travel
